analysis	signature_acc	signature_desc	hit_rows	unique_proteins
PANTHER	PTHR14304	CELL DIVISION CYCLE AND APOPTOSIS REGULATOR PROTEIN	1	1
PANTHER	PTHR14336	TANDEM PH DOMAIN CONTAINING PROTEIN	1	1
PANTHER	PTHR14398	RNA RECOGNITION RRM/RNP DOMAIN	1	1
PANTHER	PTHR14490	ZINC FINGER, ZZ TYPE	1	1
PANTHER	PTHR14513	PROTECTION OF TELOMERES 1	1	1
PANTHER	PTHR14517	RIB43A-RELATED	1	1
PANTHER	PTHR14594	CENTROSOMAL PROTEIN OF 70 KDA	1	1
PANTHER	PTHR14624	DFG10 PROTEIN	1	1
PANTHER	PTHR14677	ARSENITE INDUCUBLE RNA ASSOCIATED PROTEIN AIP-1-RELATED	1	1
PANTHER	PTHR14690	IQ MOTIF CONTAINING WITH AAA DOMAIN 1	1	1
PANTHER	PTHR14741	S-ADENOSYLMETHIONINE-DEPENDENT METHYLTRANSFERASE RELATED	1	1
PANTHER	PTHR14781	INTRAFLAGELLAR TRANSPORT PROTEIN 56	1	1
PANTHER	PTHR14898	ENHANCER OF POLYCOMB	1	1
PANTHER	PTHR15039	DOLICHOL PHOSPHATE-MANNOSE BIOSYNTHESIS REGULATORY PROTEIN	1	1
PANTHER	PTHR15048	STARCH-BINDING DOMAIN-CONTAINING PROTEIN 1	1	1
PANTHER	PTHR15052	RNA POLYMERASE III TRANSCRIPTION INITIATION FACTOR COMPLEX SUBUNIT	1	1
PANTHER	PTHR15067	E3 UBIQUITIN-PROTEIN LIGASE RNF8	1	1
PANTHER	PTHR15071	MANNOSE-6-PHOSPHATE RECEPTOR FAMILY MEMBER	1	1
PANTHER	PTHR15114	REPLICATION PROTEIN A3	1	1
PANTHER	PTHR15180	GENERAL TRANSCRIPTION FACTOR 3C POLYPEPTIDE 1	1	1
PANTHER	PTHR15189	BRISC AND BRCA1-A COMPLEX MEMBER 2	1	1
PANTHER	PTHR15224	NADH DEHYDROGENASE [UBIQUINONE] IRON-SULFUR PROTEIN 5	1	1
PANTHER	PTHR15272	CHROMATIN ASSEMBLY FACTOR 1 SUBUNIT A  CAF-1 SUBUNIT A	1	1
PANTHER	PTHR15314	RIBONUCLEASE P PROTEIN SUBUNIT P20	1	1
PANTHER	PTHR15327	MICROFIBRIL-ASSOCIATED PROTEIN	1	1
PANTHER	PTHR15371	TIM23	1	1
PANTHER	PTHR15398	BROMODOMAIN-CONTAINING PROTEIN 8	1	1
PANTHER	PTHR15422	OS05G0565100 PROTEIN	1	1
PANTHER	PTHR15435	KICSTOR COMPLEX PROTEIN KAPTIN	1	1
PANTHER	PTHR15439	RETINOBLASTOMA-BINDING PROTEIN 6	1	1
PANTHER	PTHR15441	RIBONUCLEASE P PROTEIN SUBUNIT P14	1	1
PANTHER	PTHR15460	PEROXISOMAL MEMBRANE PROTEIN 4	1	1
PANTHER	PTHR15481	RIBONUCLEIC ACID BINDING PROTEIN S1	1	1
PANTHER	PTHR15487	ADP-RIBOSYLATION FACTOR-LIKE PROTEIN 2-BINDING PROTEIN	1	1
PANTHER	PTHR15492	CYCLIN D1-BINDING PROTEIN 1	1	1
PANTHER	PTHR15495	NEGATIVE REGULATOR OF VESICLE FORMATION-RELATED	1	1
PANTHER	PTHR15496	GENERAL TRANSCRIPTION FACTOR 3C POLYPEPTIDE 4 FAMILY	1	1
PANTHER	PTHR15549	PAIRED IMMUNOGLOBULIN-LIKE TYPE 2 RECEPTOR	1	1
PANTHER	PTHR15561	CALCITONIN GENE-RELATED PEPTIDE-RECEPTOR COMPONENT PROTEIN	1	1
PANTHER	PTHR15577	ZINC FINGER CONTAINING PROTEIN	1	1
PANTHER	PTHR15598	ENHANCER OF MRNA-DECAPPING PROTEIN 4	1	1
PANTHER	PTHR15608	SPLICING FACTOR U2AF-ASSOCIATED PROTEIN 2	1	1
PANTHER	PTHR15629	SH3YL1 PROTEIN	1	1
PANTHER	PTHR15651	ARMADILLO REPEAT-CONTAINING PROTEIN 8	1	1
PANTHER	PTHR15680	RIBOSOMAL PROTEIN L19	1	1
PANTHER	PTHR15682	UNHEALTHY RIBOSOME BIOGENESIS PROTEIN 2 HOMOLOG	1	1
PANTHER	PTHR15688	KINETOCHORE-ASSOCIATED PROTEIN 1	1	1
PANTHER	PTHR15706	SH3 MULTIPLE DOMAIN	1	1
PANTHER	PTHR15710	E3 UBIQUITIN-PROTEIN LIGASE PRAJA	1	1
PANTHER	PTHR15728	DEADENYLATION COMPLEX CATALYTIC SUBUNIT PAN2	1	1
PANTHER	PTHR15819	TRANSMEMBRANE PROTEIN FAM155	1	1
PANTHER	PTHR15874	NUCLEOLAR AND SPINDLE-ASSOCIATED PROTEIN 1	1	1
PANTHER	PTHR15887	TRANSMEMBRANE PROTEIN 69	1	1
PANTHER	PTHR15893	RIBOSOMAL PROTEIN L27	1	1
PANTHER	PTHR15921	PRE-MRNA CLEAVAGE COMPLEX II	1	1
PANTHER	PTHR15944	FARNESYLCYSTEINE LYASE	1	1
PANTHER	PTHR15948	G-PROTEIN COUPLED RECEPTOR 89-RELATED	1	1
PANTHER	PTHR15952	EXPORTIN-T/LOS1	1	1
PANTHER	PTHR16022	WD REPEAT DOMAIN 60	1	1
PANTHER	PTHR16121	CAP-SPECIFIC MRNA (NUCLEOSIDE-2'-O-)-METHYLTRANSFERASE 1-RELATED	1	1
PANTHER	PTHR16130	LYSOSOMAL COBALAMIN TRANSPORTER-RELATED	1	1
PANTHER	PTHR16133	SOLUTE CARRIER FAMILY 39  ZINC TRANSPORTER , MEMBER 9-RELATED	1	1
PANTHER	PTHR16140	NON-STRUCTURAL MAINTENANCE OF CHROMOSOMES ELEMENT 4	1	1
PANTHER	PTHR16151	HAUS AUGMIN-LIKE COMPLEX SUBUNIT 6	1	1
PANTHER	PTHR16166	VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN  VPS13	1	1
PANTHER	PTHR16266	WD REPEAT DOMAIN 9	1	1
PANTHER	PTHR16306	TRANSLIN-ASSOCIATED FACTOR X-INTERACTING PROTEIN 1	1	1
PANTHER	PTHR16308	UBIQUITIN ASSOCIATED PROTEIN 2-LIKE/LINGERER	1	1
PANTHER	PTHR16453	WD40 DOMAIN-CONTAINING PROTEIN MIO FAMILY MEMBER	1	1
PANTHER	PTHR16537	SJOEGREN SYNDROME/SCLERODERMA AUTOANTIGEN 1	1	1
PANTHER	PTHR16557	ALKYLATED DNA REPAIR PROTEIN ALKB-RELATED	1	1
PANTHER	PTHR16650	C21ORF13-RELATED	1	1
PANTHER	PTHR16684	CENTROMERE PROTEIN C	1	1
PANTHER	PTHR16719	CYTOCHROME C OXIDASE COPPER CHAPERONE	1	1
PANTHER	PTHR16771	26 PROTEASOME COMPLEX SUBUNIT DSS1	1	1
PANTHER	PTHR17039	U3 SMALL NUCLEOLAR RIBONUCLEOPROTEIN PROTEIN MPP10	1	1
PANTHER	PTHR17224	PEPTIDYL-TRNA HYDROLASE	1	1
PANTHER	PTHR17453	SIGNAL RECOGNITION PARTICLE 19 KD PROTEIN	1	1
PANTHER	PTHR17616	YES-ASSOCIATED PROTEIN YAP1 FAMILY MEMBER	1	1
PANTHER	PTHR17985	SER/THR-RICH PROTEIN T10 IN DGCR REGION	1	1
PANTHER	PTHR18640	SOLUTE CARRIER FAMILY 10 MEMBER 7	1	1
PANTHER	PTHR18806	RBM25 PROTEIN	1	1
PANTHER	PTHR18895	HEMK METHYLTRANSFERASE	1	1
PANTHER	PTHR19139	AQUAPORIN TRANSPORTER	1	1
PANTHER	PTHR19316	PROTEIN FOLDING REGULATOR	1	1
PANTHER	PTHR19332	PEROXISOMAL MEMBRANE PROTEIN PEX13	1	1
PANTHER	PTHR19432	SUGAR TRANSPORTER	1	1
PANTHER	PTHR19842	G BETA-LIKE PROTEIN GBL	1	1
PANTHER	PTHR19847	DDB1- AND CUL4-ASSOCIATED FACTOR 11	1	1
PANTHER	PTHR19855	WD40 REPEAT PROTEIN 12, 37	1	1
PANTHER	PTHR19857	MITOCHONDRIAL DIVISION PROTEIN 1-RELATED	1	1
PANTHER	PTHR19932	WD REPEAT AND HMG-BOX DNA BINDING PROTEIN	1	1
PANTHER	PTHR20208	STRUCTURE-SPECIFIC ENDONUCLEASE SUBUNIT SLX1	1	1
PANTHER	PTHR20275	NAD KINASE	1	1
PANTHER	PTHR20531	N-ALPHA-ACETYLTRANSFERASE 40	1	1
PANTHER	PTHR20854	INOSITOL MONOPHOSPHATASE	1	1
PANTHER	PTHR20863	ACYL CARRIER PROTEIN	1	1
PANTHER	PTHR20881	3-METHYL-2-OXOBUTANOATE HYDROXYMETHYLTRANSFERASE	1	1
PANTHER	PTHR20900	NADH:UBIQUINONE OXIDOREDUCTASE B18-LIKE SUBUNIT	1	1
PANTHER	PTHR20917	PNAS-RELATED	1	1
PANTHER	PTHR20938	INTEGRATOR COMPLEX SUBUNIT 4	1	1
PANTHER	PTHR20941	FOLATE SYNTHESIS PROTEINS	1	1
PANTHER	PTHR20948	TRANSMEMBRANE PROTEIN 164	1	1
PANTHER	PTHR20973	NON-SMC ELEMENT 1-RELATED	1	1
PANTHER	PTHR21008	S-ADENOSYLMETHIONINE SENSOR UPSTREAM OF MTORC1-RELATED	1	1
PANTHER	PTHR21011	MITOCHONDRIAL 28S RIBOSOMAL PROTEIN S6	1	1
PANTHER	PTHR21017	NIPSNAP-RELATED	1	1
PANTHER	PTHR21021	GAF/PUTATIVE CYTOSKELETAL PROTEIN	1	1
PANTHER	PTHR21022	PREPHENATE DEHYDRATASE  P PROTEIN	1	1
PANTHER	PTHR21032	G PATCH DOMAIN-CONTAINING PROTEIN 11	1	1
PANTHER	PTHR21043	IOJAP SUPERFAMILY ORTHOLOG	1	1
PANTHER	PTHR21068	SPARTIN	1	1
PANTHER	PTHR21074	IQ AND UBIQUITIN-LIKE DOMAIN-CONTAINING PROTEIN	1	1
PANTHER	PTHR21100	PREFOLDIN SUBUNIT 4	1	1
PANTHER	PTHR21145	CHORISMATE MUTASE	1	1
PANTHER	PTHR21148	THIOREDOXIN DOMAIN-CONTAINING PROTEIN 9	1	1
PANTHER	PTHR21178	CILIA- AND FLAGELLA-ASSOCIATED PROTEIN 61	1	1
PANTHER	PTHR21192	NUCLEAR PROTEIN E3-3	1	1
PANTHER	PTHR21207	PARKIN COREGULATED GENE PROTEIN  PARK2 COREGULATED	1	1
PANTHER	PTHR21274	MECKELIN	1	1
PANTHER	PTHR21277	TRANSCRIPTIONAL ADAPTER 1	1	1
PANTHER	PTHR21281	CYTOCHROME B5 DOMAIN-CONTAINING PROTEIN 1	1	1
PANTHER	PTHR21301	REVERSE TRANSCRIPTASE	1	1
PANTHER	PTHR21319	RING FINGER AND CHY ZINC FINGER DOMAIN-CONTAINING PROTEIN 1	1	1
PANTHER	PTHR21320	CYTOCHROME C OXIDASE ASSEMBLY PROTEIN COX11-RELATED	1	1
PANTHER	PTHR21325	PHOSPHOLIPASE B, PLB1	1	1
PANTHER	PTHR21327	GTP CYCLOHYDROLASE II-RELATED	1	1
PANTHER	PTHR21330	E3 SUMO-PROTEIN LIGASE NSE2	1	1
PANTHER	PTHR21355	G-PROTEIN COUPLED RECEPTOR-ASSOCIATED PROTEIN LMBRD2	1	1
PANTHER	PTHR21382	NADH-UBIQUINONE OXIDOREDUCTASE SUBUNIT	1	1
PANTHER	PTHR21399	CHLORIDE CONDUCTANCE REGULATORY PROTEIN ICLN	1	1
PANTHER	PTHR21404	HEN1	1	1
PANTHER	PTHR21405	CDNA SEQUENCE BC021608	1	1
PANTHER	PTHR21428	MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 7	1	1
PANTHER	PTHR21442	CILIA- AND FLAGELLA-ASSOCIATED PROTEIN 206	1	1
PANTHER	PTHR21448	SMOOTH MUSCLE MYOSIN HEAVY CHAIN-RELATED	1	1
PANTHER	PTHR21454	DPH3 HOMOLOG-RELATED	1	1
PANTHER	PTHR21483	RNA POLYMERASE II-ASSOCIATED PROTEIN 1	1	1
PANTHER	PTHR21494	ACTIVATING SIGNAL COINTEGRATOR 1 COMPLEX SUBUNIT 2  ASC-1 COMPLEX SUBUNIT P100	1	1
PANTHER	PTHR21501	PROTEIN FAM-161	1	1
PANTHER	PTHR21547	CLUSTERIN ASSOCIATED PROTEIN 1	1	1
PANTHER	PTHR21568	TRNA PSEUDOURIDINE SYNTHASE PUS10	1	1
PANTHER	PTHR21580	SHIPPO-1-RELATED	1	1
PANTHER	PTHR21597	THO2 PROTEIN	1	1
PANTHER	PTHR21616	CENTROSOME SPINDLE POLE ASSOCIATED PROTEIN	1	1
PANTHER	PTHR21648	FLAGELLAR RADIAL SPOKE PROTEIN 3	1	1
PANTHER	PTHR21663	HYPOTHETICAL HEAT DOMAIN-CONTAINING	1	1
PANTHER	PTHR21664	CHRONIC MYELOGENOUS LEUKEMIA TUMOR ANTIGEN 66	1	1
PANTHER	PTHR21665	CATION CHANNEL SPERM-ASSOCIATED TARGETING SUBUNIT TAU	1	1
PANTHER	PTHR21680	COILED-COIL DOMAIN-CONTAINING PROTEIN 124	1	1
PANTHER	PTHR21681	EUKARYOTIC TRANSLATION INITIATION FACTOR 3 SUBUNIT J	1	1
PANTHER	PTHR21686	DEOXYNUCLEOTIDYLTRANSFERASE TERMINAL-INTERACTING PROTEIN 2	1	1
PANTHER	PTHR21716	TRANSMEMBRANE PROTEIN	1	1
PANTHER	PTHR21738	RIBOSOMAL RNA PROCESSING PROTEIN 36 HOMOLOG	1	1
PANTHER	PTHR21780	TRANSMEMBRANE PROTEIN 209	1	1
PANTHER	PTHR21860	TRANSCRIPTION INITIATION FACTOR IIIC TFIIIC , POLYPEPTIDE 6-RELATED	1	1
PANTHER	PTHR22118	DYNEIN ASSEMBLY FACTOR 3, AXONEMAL	1	1
PANTHER	PTHR22146	CAT EYE SYNDROME CRITICAL REGION PROTEIN 6	1	1
PANTHER	PTHR22455	CILIA- AND FLAGELLA-ASSOCIATED PROTEIN 91	1	1
PANTHER	PTHR22600	BETA-HEXOSAMINIDASE	1	1
PANTHER	PTHR22691	YEAST SPT2-RELATED	1	1
PANTHER	PTHR22731	RIBONUCLEASES P/MRP PROTEIN SUBUNIT POP1	1	1
PANTHER	PTHR22746	RAB6A-GEF COMPLEX PARTNER PROTEIN 1	1	1
PANTHER	PTHR22754	DISCO-INTERACTING PROTEIN 2  DIP2 -RELATED	1	1
PANTHER	PTHR22768	DNA REPLICATION COMPLEX GINS PROTEIN PSF3	1	1
PANTHER	PTHR22838	WD REPEAT PROTEIN 26-RELATED	1	1
PANTHER	PTHR22839	THO COMPLEX SUBUNIT 3  THO3	1	1
PANTHER	PTHR22846	WD40 REPEAT PROTEIN	1	1
PANTHER	PTHR22850	WD40 REPEAT FAMILY	1	1
PANTHER	PTHR22876	ZGC:101016	1	1
PANTHER	PTHR22884	SET DOMAIN PROTEINS	1	1
PANTHER	PTHR22889	WD REPEAT-CONTAINING PROTEIN 89	1	1
PANTHER	PTHR22929	RNA POLYMERASE III TRANSCRIPTION INITIATION FACTOR B	1	1
PANTHER	PTHR22948	TUDOR DOMAIN CONTAINING PROTEIN	1	1
PANTHER	PTHR22980	CORTISTATIN	1	1
PANTHER	PTHR22981	3-HYDROXYISOBUTYRATE DEHYDROGENASE-RELATED	1	1
PANTHER	PTHR22984	SERINE/THREONINE-PROTEIN KINASE PIM	1	1
PANTHER	PTHR22993	FORMAMIDOPYRIMIDINE-DNA GLYCOSYLASE	1	1
PANTHER	PTHR23042	CIRCADIAN PROTEIN CLOCK/ARNT/BMAL/PAS	1	1
PANTHER	PTHR23078	VESICULAR-FUSION PROTEIN NSF	1	1
PANTHER	PTHR23083	TETRATRICOPEPTIDE REPEAT PROTEIN, TPR	1	1
PANTHER	PTHR23102	CLEAVAGE AND POLYADENYLATION SPECIFICITY FACTOR SUBUNIT 4-RELATED	1	1
PANTHER	PTHR23104	MULTIPLE COAGULATION FACTOR DEFICIENCY PROTEIN 2  NEURAL STEM CELL DERIVED NEURONAL SURVIVAL PROTEIN	1	1
PANTHER	PTHR23114	M7GPPPN-MRNA HYDROLASE	1	1
PANTHER	PTHR23140	RNA PROCESSING PROTEIN LD23810P	1	1
PANTHER	PTHR23146	LEO1 PROTEIN	1	1
PANTHER	PTHR23148	SERINE/ARGININE REGULATED NUCLEAR MATRIX PROTEIN	1	1
PANTHER	PTHR23149	G PATCH DOMAIN CONTAINING PROTEIN	1	1
PANTHER	PTHR23157	GRIP AND COILED-COIL DOMAIN-CONTAINING PROTEIN 1	1	1
PANTHER	PTHR23160	SYNAPTONEMAL COMPLEX PROTEIN-RELATED	1	1
PANTHER	PTHR23196	PAX TRANSCRIPTION ACTIVATION DOMAIN INTERACTING PROTEIN	1	1
PANTHER	PTHR23237	NUCLEOLAR PROTEIN FAMILY A MEMBER 1  SNORNP PROTEIN GAR1	1	1
PANTHER	PTHR23257	SERINE-THREONINE PROTEIN KINASE	1	1
PANTHER	PTHR23274	DNA HELICASE-RELATED	1	1
PANTHER	PTHR23284	PROLACTIN REGULATORY ELEMENT BINDING PROTEIN	1	1
PANTHER	PTHR23306	TUMOR SUSCEPTIBILITY GENE 101 PROTEIN-RELATED	1	1
PANTHER	PTHR23318	ATP SYNTHASE GAMMA-RELATED	1	1
PANTHER	PTHR23321	RIBOSOMAL PROTEIN S15, BACTERIAL AND ORGANELLAR	1	1
PANTHER	PTHR23350	PEROXISOME ASSEMBLY PROTEIN 10	1	1
PANTHER	PTHR23407	ATPASE INHIBITOR/5-FORMYLTETRAHYDROFOLATE CYCLO-LIGASE	1	1
PANTHER	PTHR23417	3-DEOXY-D-MANNO-OCTULOSONIC-ACID TRANSFERASE/TRNA  GUANINE-N 7 - -METHYLTRANSFERASE	1	1
PANTHER	PTHR24064	SOLUTE CARRIER FAMILY 22 MEMBER	1	1
PANTHER	PTHR24110	CENTROSOMAL PROTEIN OF 78 KDA	1	1
PANTHER	PTHR24126	ANKYRIN REPEAT, PH AND SEC7 DOMAIN CONTAINING PROTEIN SECG-RELATED	1	1
PANTHER	PTHR24133	ANKYRIN DOMAIN-CONTAINING	1	1
PANTHER	PTHR24135	SH3 AND MULTIPLE ANKYRIN REPEAT DOMAINS PROTEIN	1	1
PANTHER	PTHR24173	ANKYRIN REPEAT CONTAINING	1	1
PANTHER	PTHR24178	MOLTING PROTEIN MLT-4	1	1
PANTHER	PTHR24189	MYOTROPHIN	1	1
PANTHER	PTHR24201	ANK_REP_REGION DOMAIN-CONTAINING PROTEIN	1	1
PANTHER	PTHR24215	RHO-GTPASE-ACTIVATING PROTEIN LRG1	1	1
PANTHER	PTHR24240	OPSIN	1	1
PANTHER	PTHR24274	CILIA- AND FLAGELLA-ASSOCIATED PROTEIN 161	1	1
PANTHER	PTHR24281	STEROID 21-HYDROXYLASE-RELATED	1	1
PANTHER	PTHR24286	CYTOCHROME P450 26	1	1
PANTHER	PTHR24293	CYTOCHROME P450 FAMILY 46 SUBFAMILY A	1	1
PANTHER	PTHR24302	CYTOCHROME P450 FAMILY 3	1	1
PANTHER	PTHR24304	CYTOCHROME P450 FAMILY 7	1	1
PANTHER	PTHR24321	DEHYDROGENASES, SHORT CHAIN	1	1
PANTHER	PTHR24324	HOMEOBOX PROTEIN HHEX	1	1
PANTHER	PTHR24327	HOMEOBOX PROTEIN	1	1
PANTHER	PTHR24353	CYCLIC NUCLEOTIDE-DEPENDENT PROTEIN KINASE	1	1
PANTHER	PTHR24393	ZINC FINGER PROTEIN	1	1
PANTHER	PTHR24406	TRANSCRIPTIONAL REPRESSOR CTCFL-RELATED	1	1
PANTHER	PTHR24409	ZINC FINGER PROTEIN 142	1	1
PANTHER	PTHR24413	SPECKLE-TYPE POZ PROTEIN	1	1
PANTHER	PTHR28015	ATP SYNTHASE ASSEMBLY FACTOR FMC1, MITOCHONDRIAL	1	1
PANTHER	PTHR28018	RESPIRATORY SUPERCOMPLEX FACTOR 2, MITOCHONDRIAL	1	1
PANTHER	PTHR28074	ATP SYNTHASE SUBUNIT K, MITOCHONDRIAL	1	1
PANTHER	PTHR28075	CHROMOSOME 16, WHOLE GENOME SHOTGUN SEQUENCE	1	1
PANTHER	PTHR28080	PEROXISOMAL BIOGENESIS FACTOR 3	1	1
PANTHER	PTHR28106	MITOCHONDRIAL ATPASE COMPLEX SUBUNIT ATP10	1	1
PANTHER	PTHR28118	POLYNUCLEOTIDE 5'-TRIPHOSPHATASE-RELATED	1	1
PANTHER	PTHR28128	GOLGI APPARATUS MEMBRANE PROTEIN TVP15	1	1
PANTHER	PTHR28142	MITOCHONDRIAL INNER MEMBRANE I-AAA PROTEASE SUPERCOMPLEX SUBUNIT MGR3-RELATED	1	1
PANTHER	PTHR28161	ATP SYNTHASE SUBUNIT F, MITOCHONDRIAL	1	1
PANTHER	PTHR28174	54S RIBOSOMAL PROTEIN L36, MITOCHONDRIAL	1	1
PANTHER	PTHR28177	ALTERED INHERITANCE OF MITOCHONDRIA PROTEIN 19, MITOCHONDRIAL	1	1
PANTHER	PTHR28185	MITOCHONDRIAL DISTRIBUTION AND MORPHOLOGY PROTEIN 34	1	1
PANTHER	PTHR28189	GUANINE NUCLEOTIDE-BINDING PROTEIN SUBUNIT GAMMA	1	1
PANTHER	PTHR28204	MITOCHONDRIAL DISTRIBUTION AND MORPHOLOGY PROTEIN 12	1	1
PANTHER	PTHR28213	IMP-SPECIFIC 5'-NUCLEOTIDASE 1	1	1
PANTHER	PTHR28218	VPS4-ASSOCIATED PROTEIN 1	1	1
PANTHER	PTHR28243	AGL049CP	1	1
PANTHER	PTHR28266	54S RIBOSOMAL PROTEIN L20, MITOCHONDRIAL	1	1
PANTHER	PTHR28268	MICOS SUBUNIT MIC26	1	1
PANTHER	PTHR28291	CTD KINASE SUBUNIT GAMMA	1	1
PANTHER	PTHR28293	NUCLEAR RIM PROTEIN 1	1	1
PANTHER	PTHR28523	CYTOCHROME C OXIDASE ASSEMBLY FACTOR 1	1	1
PANTHER	PTHR28524	SUCCINATE DEHYDROGENASE ASSEMBLY FACTOR 4, MITOCHONDRIAL	1	1
PANTHER	PTHR28554	39S RIBOSOMAL PROTEIN L45, MITOCHONDRIAL	1	1
PANTHER	PTHR28559	DNA REPAIR PROTEIN XRCC4	1	1
PANTHER	PTHR28641		1	1
PANTHER	PTHR28670	UV-STIMULATED SCAFFOLD PROTEIN A	1	1
PANTHER	PTHR28674	SIMILAR TO DNA SEGMENT, CHR 10, WAYNE STATE UNIVERSITY 102,-EXPRESSED	1	1
PANTHER	PTHR30011	ALKANESULFONATE MONOOXYGENASE-RELATED	1	1
PANTHER	PTHR30024	ALIPHATIC SULFONATES-BINDING PROTEIN-RELATED	1	1
PANTHER	PTHR30028	UPF0014 INNER MEMBRANE PROTEIN YBBM-RELATED	1	1
PANTHER	PTHR30031	PHOSPHOENOLPYRUVATE CARBOXYKINASE  ATP	1	1
PANTHER	PTHR30036	D-XYLOSE-BINDING PERIPLASMIC PROTEIN	1	1
PANTHER	PTHR30266	MECHANOSENSITIVE CHANNEL MSCL	1	1
PANTHER	PTHR30352	PYRUVATE FORMATE-LYASE-ACTIVATING ENZYME	1	1
PANTHER	PTHR30411	CYTOPLASMIC PROTEIN	1	1
PANTHER	PTHR30555	HYDROPEROXIDASE I, BIFUNCTIONAL CATALASE-PEROXIDASE	1	1
PANTHER	PTHR31011	PROTEIN STB2-RELATED	1	1
PANTHER	PTHR31051	PROTEASOME ASSEMBLY CHAPERONE 3	1	1
PANTHER	PTHR31094	RIKEN CDNA 2310061I04 GENE	1	1
PANTHER	PTHR31131	CHROMOSOME 1, WHOLE GENOME SHOTGUN SEQUENCE	1	1
PANTHER	PTHR31148	U1 SMALL NUCLEAR RIBONUCLEOPROTEIN C	1	1
PANTHER	PTHR31200	INO80 COMPLEX SUBUNIT C	1	1
PANTHER	PTHR31223	LOG FAMILY PROTEIN YJL055W	1	1
PANTHER	PTHR31242	ACETOLACTATE SYNTHASE SMALL SUBUNIT, MITOCHONDRIAL	1	1
PANTHER	PTHR31285	NICOTINAMIDE MONONUCLEOTIDE ADENYLYLTRANSFERASE	1	1
PANTHER	PTHR31315	PROTEIN SIP5	1	1
PANTHER	PTHR31350	SI:DKEY-261L7.2	1	1
PANTHER	PTHR31441	FOLLICULIN FAMILY MEMBER	1	1
PANTHER	PTHR31477	CENTROSOMAL PROTEIN OF 44 KDA	1	1
PANTHER	PTHR31528	4-AMINO-5-HYDROXYMETHYL-2-METHYLPYRIMIDINE PHOSPHATE SYNTHASE THI11-RELATED	1	1
PANTHER	PTHR31539	CENTROSOMAL PROTEIN OF 19K CEP19	1	1
PANTHER	PTHR31540	CENTROSOMAL PROTEIN OF 131 KDA	1	1
PANTHER	PTHR31559	PYRIDOXAL 5'-PHOSPHATE SYNTHASE SUBUNIT SNO	1	1
PANTHER	PTHR31570	HAUS AUGMIN-LIKE COMPLEX SUBUNIT 1	1	1
PANTHER	PTHR31571	ALTERED INHERITANCE OF MITOCHONDRIA PROTEIN 6	1	1
PANTHER	PTHR31576	TATA BOX-BINDING PROTEIN-ASSOCIATED FACTOR RNA POLYMERASE I SUBUNIT B	1	1
PANTHER	PTHR31606	WW DOMAIN BINDING PROTEIN 2, ISOFORM E	1	1
PANTHER	PTHR31632	IRON TRANSPORTER FTH1	1	1
PANTHER	PTHR31633	H/ACA RIBONUCLEOPROTEIN COMPLEX NON-CORE SUBUNIT NAF1	1	1
PANTHER	PTHR31652	LIMR FAMILY PROTEIN DDB_G0283707-RELATED	1	1
PANTHER	PTHR31679	PEROXISOMAL MEMBRANE PROTEIN PEX30-RELATED	1	1
PANTHER	PTHR31687		1	1
PANTHER	PTHR31735	VACUOLAR MEMBRANE PROTEIN YPL162C	1	1
PANTHER	PTHR31787	G-PROTEIN-COUPLED RECEPTOR  GPCR  FAMILY PROTEIN	1	1
PANTHER	PTHR31841	PROTEIN FAM72A-RELATED	1	1
PANTHER	PTHR31859	TETRATRICOPEPTIDE REPEAT PROTEIN 39 FAMILY MEMBER	1	1
PANTHER	PTHR31949	GASTRIC MUCIN-LIKE PROTEIN	1	1
PANTHER	PTHR31962	SPHINGOLIPID LONG CHAIN BASE-RESPONSIVE PROTEIN PIL1	1	1
PANTHER	PTHR31978	INTRAFLAGELLAR TRANSPORT PROTEIN 20 HOMOLOG	1	1
PANTHER	PTHR32046	G DOMAIN-CONTAINING PROTEIN	1	1
PANTHER	PTHR32057	PROTEIN ADENYLYLTRANSFERASE SELO, MITOCHONDRIAL	1	1
PANTHER	PTHR32085	PROTEIN CSF1	1	1
PANTHER	PTHR32179	NICOTINATE-NUCLEOTIDE PYROPHOSPHORYLASE [CARBOXYLATING]	1	1
PANTHER	PTHR32212	CYCLIN-LIKE F-BOX	1	1
PANTHER	PTHR32338	N-ACETYL-GAMMA-GLUTAMYL-PHOSPHATE REDUCTASE, CHLOROPLASTIC-RELATED-RELATED	1	1
PANTHER	PTHR32419	GLUTATHIONYL-HYDROQUINONE REDUCTASE	1	1
PANTHER	PTHR33303	CYTOPLASMIC PROTEIN-RELATED	1	1
PANTHER	PTHR33321		1	1
PANTHER	PTHR33324	EXPRESSED PROTEIN	1	1
PANTHER	PTHR33325	ZINC FINGER, CCHC-TYPE-RELATED	1	1
PANTHER	PTHR33572	SPORE DEVELOPMENT REGULATOR VOSA	1	1
PANTHER	PTHR33588	CILIA- AND FLAGELLA-ASSOCIATED PROTEIN 299	1	1
PANTHER	PTHR33594	SUPERFAMILY HYDROLASE, PUTATIVE (AFU_ORTHOLOGUE AFUA_1G03035)-RELATED	1	1
PANTHER	PTHR33606	PROTEIN YCII	1	1
PANTHER	PTHR33667	SI:DKEY-57N24.6	1	1
PANTHER	PTHR33802	SI:CH211-161H7.5-RELATED	1	1
